"","diversity_shannon"
"HMP_2019_ibdmdb__CSM7KOKJ",2.2087154452597
"HMP_2019_ibdmdb__CSM79HGL_P",3.04194140608515
"HMP_2019_ibdmdb__MSM6J2HT",2.28119602875759
"HMP_2019_ibdmdb__MSMAPC7T",2.76649152576977
"HMP_2019_ibdmdb__MSMA26EL",2.29480790096947
"HMP_2019_ibdmdb__MSM79H8H",3.51579890424353
"HMP_2019_ibdmdb__MSM6J2KM",2.28414327701038
"HMP_2019_ibdmdb__CSM9X213",2.87679975202104
"HMP_2019_ibdmdb__CSM5FZ4C_P",2.36281678978224
"HMP_2019_ibdmdb__MSM79HA1",3.4525393412894
"HMP_2019_ibdmdb__MSM9VZOK",3.35296366032757
"HMP_2019_ibdmdb__MSM9VZIS",2.2422444300963
"HMP_2019_ibdmdb__MSM9VZIO",2.82905765157774
"HMP_2019_ibdmdb__CSM79HM5_P",2.5473872266364
"HMP_2019_ibdmdb__CSM79HI3",2.04901820520863
"HMP_2019_ibdmdb__CSM67UAW",3.28441144622745
"HMP_2019_ibdmdb__MSM79H7W",3.62879654555306
"HMP_2019_ibdmdb__CSM7KOO9",2.3871489287472
"HMP_2019_ibdmdb__MSMAPC5H",2.89265453711139
"HMP_2019_ibdmdb__MSMA26BX",2.97607658865676
"HMP_2019_ibdmdb__CSM79HJS",2.27372449622696
"HMP_2019_ibdmdb__MSM9VZMS",3.64618540600789
"HMP_2019_ibdmdb__MSM9VZJ3",2.25108150179758
"HMP_2019_ibdmdb__CSM5MCYS",2.94890811663936
"HMP_2019_ibdmdb__MSM6J2IG",3.01426701383629
"HMP_2019_ibdmdb__MSM79HFY",3.61896731438432
"HMP_2019_ibdmdb__MSMA267V",4.12684280674152
"HMP_2019_ibdmdb__CSM79HLA",3.52677481176798
"HMP_2019_ibdmdb__CSM5MCWG",0.731777316309528
"HMP_2019_ibdmdb__ESM5GEYW_P",3.53948210319383
"HMP_2019_ibdmdb__MSM9VZGS",3.80629242782465
"HMP_2019_ibdmdb__MSM9VZI6",1.87211236798287
"HMP_2019_ibdmdb__CSM67U9R_P",2.71771337680828
"HMP_2019_ibdmdb__CSM79HNE",2.03456011099938
"HMP_2019_ibdmdb__CSM7KOR8_P",2.73755471778386
"HMP_2019_ibdmdb__MSM79H89",2.85431943729709
"HMP_2019_ibdmdb__MSM9VZEQ",2.64585912824824
"HMP_2019_ibdmdb__CSM5MCW4_P",1.38459672705649
"HMP_2019_ibdmdb__CSM67UCK",3.07899193613346
"HMP_2019_ibdmdb__CSM5MCXZ_P",3.04230180445495
"HMP_2019_ibdmdb__MSM79H6J",3.93251261030734
"HMP_2019_ibdmdb__CSM67UET_P",2.83918930638723
"HMP_2019_ibdmdb__MSM9VZF3",2.55305766961759
"HMP_2019_ibdmdb__MSM6J2ON",1.22764265427745
"HMP_2019_ibdmdb__CSM79HL6",2.818694150633
"HMP_2019_ibdmdb__MSM79H9G",3.03560273106073
"HMP_2019_ibdmdb__MSM9VZFN",2.78605652055134
"HMP_2019_ibdmdb__CSM7KOUB",3.2965393887158
"HMP_2019_ibdmdb__CSM67UG8",3.32022664064456
"HMP_2019_ibdmdb__CSM5MCVD_P",1.89220729935529
"HMP_2019_ibdmdb__MSM7J16J",3.24664682176621
"HMP_2019_ibdmdb__MSM9VZEK_TR",2.14143802938298
"HMP_2019_ibdmdb__MSMAPC6E",2.70356259317595
"HMP_2019_ibdmdb__CSM79HNG_P",2.75225294775274
"HMP_2019_ibdmdb__CSM7KOJQ",2.44964810824349
"HMP_2019_ibdmdb__CSM9X22G",3.3603344709074
"HMP_2019_ibdmdb__CSM7KOPI",2.55897211298259
"HMP_2019_ibdmdb__MSM9VZES",3.38620156925581
"HMP_2019_ibdmdb__CSM9X237",2.97355255233891
"HMP_2019_ibdmdb__MSMB4LZ8",3.37584897168945
"HMP_2019_ibdmdb__MSM79HDM",3.0882170503959
"HMP_2019_ibdmdb__MSM9VZFJ_P",2.85327147438969
"HMP_2019_ibdmdb__CSM5MCWM_P",1.99848228092367
"HMP_2019_ibdmdb__MSM79HCK",2.3225197178445
"HMP_2019_ibdmdb__MSM9VZLZ",1.49279890217011
"HMP_2019_ibdmdb__MSM79HFW",3.61093717018227
"HMP_2019_ibdmdb__MSMA26CX",2.43606049337331
"HMP_2019_ibdmdb__MSM5LLHC",2.44295396468964
"HMP_2019_ibdmdb__MSM6J2MB",2.98740588784656
"HMP_2019_ibdmdb__MSM79H6D",4.00552268773012
"HMP_2019_ibdmdb__MSM6J2RG_P",2.33667262254436
"HMP_2019_ibdmdb__CSM79HHW",1.9259648214375
"HMP_2019_ibdmdb__CSM79HGP",2.21312364870909
"HMP_2019_ibdmdb__CSM7KOKD",2.68908358096495
"HMP_2019_ibdmdb__CSM7KOPS",2.95533197422545
"HMP_2019_ibdmdb__MSM5LLHG_P",3.2708121555806
"HMP_2019_ibdmdb__MSM5LLGL",2.43142956115517
"HMP_2019_ibdmdb__CSM79HRC",3.05917928884513
"HMP_2019_ibdmdb__CSM5MCXH",2.22999175441833
"HMP_2019_ibdmdb__CSM7KONW_P",3.26920416600429
"HMP_2019_ibdmdb__MSMAPC7P",2.08757388871683
"HMP_2019_ibdmdb__MSMAPC5Z",3.92033357877597
"HMP_2019_ibdmdb__MSM5FZA2_P",3.16138713069788
"HMP_2019_ibdmdb__CSM5MCU8_P",3.23012935295134
"HMP_2019_ibdmdb__CSM7KOSP",1.30922536386662
"HMP_2019_ibdmdb__CSM79HOT",3.0593552531783
"HMP_2019_ibdmdb__CSM79HJO",2.17668262163233
"HMP_2019_ibdmdb__CSM79HPK",1.48433591140367
"HMP_2019_ibdmdb__MSM79H6F",3.97592362325404
"HMP_2019_ibdmdb__CSM7KOKH_P",2.35731566520755
"HMP_2019_ibdmdb__MSM9VZGY",3.07428729821229
"HMP_2019_ibdmdb__CSM9X22S",2.68820949700051
"HMP_2019_ibdmdb__MSM79H9C",3.17213805878197
"HMP_2019_ibdmdb__MSMB4LZ4",2.93003969002524
"HMP_2019_ibdmdb__CSM7KOQ1",2.84936699721132
"HMP_2019_ibdmdb__MSM79HBN",2.05170505508975
"HMP_2019_ibdmdb__MSM79H8F",2.12956248907232
"HMP_2019_ibdmdb__MSM79H9A",2.99464082824349
"HMP_2019_ibdmdb__CSM79HGD_P",3.33006681636045
"HMP_2019_ibdmdb__CSM7KOR4_P",2.61176129362253
"HMP_2019_ibdmdb__CSM67UGC",1.85468227856502
"HMP_2019_ibdmdb__CSM79HJQ",2.13784804769243
"HMP_2019_ibdmdb__MSM9VZJF_P",3.9923134810411
"HMP_2019_ibdmdb__MSM79H8N",2.34841315830395
"HMP_2019_ibdmdb__MSM9VZMO",3.51626947983594
"HMP_2019_ibdmdb__CSM7KOJG",2.49182603220239
"HMP_2019_ibdmdb__MSM5LLI8_P",2.00767087287515
"HMP_2019_ibdmdb__CSM7KONS_P",1.29260966195958
"HMP_2019_ibdmdb__MSM9VZGO",3.77474438743066
"HMP_2019_ibdmdb__MSM6J2MJ",2.45450813359045
